City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,saint-philippe,75,CA,1525274100,46,45.36,-73.48,75.2,18.34
88,balikpapan,8,ID,1525277103,100,-1.24,116.86,82.05,4.94
89,lebu,8,ET,1525277103,82,8.96,38.73,64.77,2.59
90,sinnamary,80,GF,1525277103,98,5.38,-52.96,79.71,10.87
91,avarua,20,CK,1525273200,88,-21.21,-159.78,77.0,6.93
92,altay,92,CN,1525277104,72,47.83,88.13,37.14,7.29
93,marsh harbour,64,BS,1525277104,100,26.54,-77.06,75.21,24.52
94,frontera,20,MX,1525272480,62,18.53,-92.64,86.0,9.17
95,belmonte,80,PT,1525277105,67,40.36,-7.35,57.75,3.94
96,sao filipe,8,CV,1525277105,88,14.9,-24.5,73.32,19.82
97,vardo,1,US,1525275300,28,39.62,-77.74,82.4,9.17
98,gravdal,75,NO,1525274400,53,59.79,5.78,51.8,20.8
99,nabire,80,ID,1525277106,99,-3.36,135.5,69.72,2.15
100,bilma,0,NE,1525277106,10,18.69,12.92,109.23,12.33
101,los llanos de aridane,75,ES,1525275000,72,28.66,-17.92,68.0,6.93
102,salta,75,AR,1525273200,78,-24.79,-65.41,75.2,2.24
103,butaritari,24,KI,1525277107,100,3.07,172.79,83.04,8.41
104,mobaye,0,CF,1525277107,65,4.33,21.18,86.82,4.16
105,kuytun,0,RU,1525277107,56,54.34,101.51,44.52,5.17
106,bredasdorp,80,ZA,1525277108,96,-34.53,20.04,63.87,18.25
107,pierre,1,US,1525272780,76,44.37,-100.35,53.6,3.36
108,aasiaat,56,GL,1525277108,100,68.71,-52.87,18.15,16.46
109,thinadhoo,68,MV,1525277108,95,0.53,72.93,86.37,15.79
110,new norfolk,75,AU,1525275000,67,-42.78,147.06,57.2,8.05
111,ribeira grande,40,PT,1525275000,68,38.52,-28.7,64.4,12.75
112,northam,20,GB,1525274400,50,51.04,-4.21,55.4,16.11
113,burgeo,92,CA,1525277110,97,47.61,-57.61,37.32,14.79
114,victoria,90,BN,1525275000,94,5.28,115.24,77.0,1.12
115,lorengau,48,PG,1525277111,100,-2.02,147.27,82.32,5.06
116,port elizabeth,1,US,1525276500,23,39.31,-74.98,87.8,9.17
117,nisia floresta,40,BR,1525273200,55,-6.09,-35.21,87.8,16.11
118,constitucion,40,MX,1525272180,38,23.99,-104.67,64.4,6.93
119,sambava,76,MG,1525277112,100,-14.27,50.17,78.9,18.48
120,fuyang,0,CN,1525277112,74,32.89,115.81,56.04,3.04
121,taltal,0,CL,1525277112,86,-25.41,-70.49,65.94,1.7
122,kahului,1,US,1525272960,94,20.89,-156.47,71.6,4.83
123,pleasant point,44,NZ,1525277132,100,-44.26,171.13,39.48,2.37
124,guamuchil,88,MX,1525277132,75,25.47,-108.1,73.86,2.37
125,ipatovo,0,RU,1525277132,37,45.72,42.92,80.34,5.5
126,tiznit,0,MA,1525277133,80,29.7,-9.73,63.69,11.65
127,bani walid,0,LY,1525277133,16,31.76,14.0,81.6,21.5
